,x,y,time
0,16500,14500,217
1,14500,23500,278
2,8500,10500,344
3,9500,31499,395
4,14500,25500,512
5,17500,9500,694
6,15500,17499,721
7,13500,14500,747
8,13500,14500,752
9,16500,14500,776
10,11500,17499,793
11,None,None,868
12,12500,17499,1117
13,14500,10500,1206
14,14500,17500,1237
15,10500,10500,1284
16,15500,14500,1374
17,15500,14500,1398
18,9500,18499,1436
19,8499,26499,1471
20,8499,20499,1587
21,3499,17499,1783
22,7500,17500,1815
23,9500,10500,1833
24,7499,14500,1838
25,7499,14500,1863
26,4499,12500,1903
27,3499,20499,2259
28,None,None,2288
29,16500,14500,2301
30,17500,23499,2335
31,3500,9500,2361
32,11500,17499,2457
33,8499,31499,2558
34,9500,500,2581
35,14500,13500,2611
36,6499,4500,2641
37,1499,21499,2732
38,17500,13500,2741
39,12500,14500,2768
40,8499,22499,2788
41,10500,23499,2833
42,499,11500,2834
43,None,None,2879
44,5499,14500,2895
45,1499,17499,2959
46,9500,10500,2963
47,8499,14500,2999
48,14500,17499,3045
49,12500,10500,3084
50,11500,8500,3099
51,12500,17500,3143
52,9500,14500,3185
53,9500,10500,3253
54,17500,24499,3335
55,15500,14500,3372
56,15500,17499,3394
57,13500,21500,3424
58,None,None,3466
59,12500,14500,3471
60,17500,30499,3609
61,14500,14500,3635
62,17500,13500,3655
63,11500,14500,3675
64,9500,23499,3701
65,15500,22499,3728
66,12500,23500,3741
67,14500,24500,3747
68,17500,10500,3825
69,15500,17499,3865
70,11500,14500,3887
71,10500,12500,3912
72,15500,17499,3921
73,13500,14500,3944
74,None,None,3981
75,17500,18499,4033
76,16500,14500,4034
77,16500,11500,4056
78,14500,17499,4095
79,15500,17500,4133
