side,time,isAbilily,card_name,x,y
blue,217,0,barbarian-barrel,16500,14500
red,278,0,barbarian-barrel,14500,23500
blue,344,0,cannon,8500,10500
red,395,0,royal-giant,9500,31499
blue,512,0,earthquake,14500,25500
blue,694,0,firecracker,17500,9500
red,721,0,monk,15500,17499
blue,747,0,mighty-miner,13500,14500
blue,752,0,skeletons,13500,14500
blue,776,0,electro-spirit,16500,14500
red,793,0,electro-spirit,11500,17499
red,868,1,monk,,
red,1117,0,royal-ghost,12500,17499
blue,1206,0,barbarian-barrel,14500,10500
red,1237,0,barbarian-barrel,14500,17500
blue,1284,0,firecracker,10500,10500
blue,1374,0,mighty-miner,15500,14500
blue,1398,0,hog-rider,15500,14500
red,1436,0,hunter,9500,18499
red,1471,0,fisherman,8499,26499
red,1587,0,electro-spirit,8499,20499
red,1783,0,royal-giant,3499,17499
red,1815,0,barbarian-barrel,7500,17500
blue,1833,0,cannon,9500,10500
blue,1838,0,electro-spirit,7499,14500
blue,1863,0,skeletons,7499,14500
blue,1903,0,mighty-miner,4499,12500
red,2259,0,royal-ghost,3499,20499
blue,2288,1,mighty-miner,,
blue,2301,0,hog-rider,16500,14500
red,2335,0,hunter,17500,23499
blue,2361,0,barbarian-barrel,3500,9500
red,2457,0,electro-spirit,11500,17499
red,2558,0,royal-giant,8499,31499
blue,2581,0,electro-spirit,9500,500
blue,2611,0,skeletons,14500,13500
blue,2641,0,mighty-miner,6499,4500
red,2732,0,monk,1499,21499
blue,2741,0,hog-rider,17500,13500
blue,2768,0,barbarian-barrel,12500,14500
red,2788,0,fisherman,8499,22499
red,2833,0,royal-ghost,10500,23499
blue,2834,0,firecracker,499,11500
red,2879,1,monk,,
blue,2895,0,skeletons,5499,14500
red,2959,0,electro-spirit,1499,17499
blue,2963,0,cannon,9500,10500
blue,2999,0,electro-spirit,8499,14500
red,3045,0,royal-giant,14500,17499
blue,3084,0,mighty-miner,12500,10500
blue,3099,0,barbarian-barrel,11500,8500
red,3143,0,barbarian-barrel,12500,17500
blue,3185,0,skeletons,9500,14500
blue,3253,0,cannon,9500,10500
red,3335,0,hunter,17500,24499
blue,3372,0,firecracker,15500,14500
red,3394,0,monk,15500,17499
blue,3424,0,earthquake,13500,21500
red,3466,1,monk,,
blue,3471,0,electro-spirit,12500,14500
red,3609,0,royal-ghost,17500,30499
blue,3635,0,skeletons,14500,14500
blue,3655,0,hog-rider,17500,13500
blue,3675,0,barbarian-barrel,11500,14500
red,3701,0,fisherman,9500,23499
red,3728,0,electro-spirit,15500,22499
blue,3741,0,earthquake,12500,23500
red,3747,0,barbarian-barrel,14500,24500
blue,3825,0,firecracker,17500,10500
red,3865,0,monk,15500,17499
blue,3887,0,skeletons,11500,14500
blue,3912,0,electro-spirit,10500,12500
red,3921,0,royal-giant,15500,17499
blue,3944,0,barbarian-barrel,13500,14500
red,3981,1,monk,,
red,4033,0,fisherman,17500,18499
blue,4034,0,mighty-miner,16500,14500
blue,4056,0,cannon,16500,11500
red,4095,0,electro-spirit,14500,17499
red,4133,0,barbarian-barrel,15500,17500
